userId itemId rate date
AECGFXPRJDIIF2XLLJAUE2R2L2SA B004M18O60 4.0 2015-12-27
AE2XHLVW7TBWC2T4WWRC4EZ45A7A B00MH4ZVHO 5.0 2017-11-09
AG4NXZ43OUYNZNMLVELSLUL7PRIQ B001NJNPZE 4.0 2018-08-30
AFIUPCVVCAVRMLSUS3L6SN3VZ5QA B00SBQ7GHU 3.0 2015-10-04
AEG6GFSYPEKGLZ3NVVOTPCQACV3Q B00K73NSXQ 3.0 2016-01-03
AGV3BWHWWOA6BK6MDCBOBDMW2FSQ B010RAAOIK 5.0 2016-06-14
AHNZ4HQ6Z4LG54UONVA7PS3CASYQ B00WQG6A8C 4.0 2016-01-08
AERWSKDYJ6U2VQWKJW76B5XKZXSA B0049VVQ9U 1.0 2016-11-30
AEZKMPG5O4HYXLX7WLHJUQ33BHMA B0049S6ZUS 5.0 2016-02-22
AHEL47M5TTSE2FZ7JE4VHGVCYX2A B0017K6BDW 5.0 2016-03-28
AGKEBCNM2XVVZFSFNHYRMWTCT6WQ B006T9ZKAQ 5.0 2016-09-29
AEDAPBPCBPEKZRB4FRQKX3SQNRPA B00TVRI6KY 5.0 2017-01-20
AGKYLTT2PGQKI4TNF7TDFNZP7XDA B00LBK389I 5.0 2015-01-27
AGG5CYZB24GDMIH57YYZMRTK4DZQ B00D76RNLS 5.0 2017-05-27
AHEBGDWCMRUMF4RFRID6A6NU5PTA B006U3O566 5.0 2017-08-21
AEMLQEDU3RGUGSGMGOJB4OJMK7LA B00R5U0UBW 5.0 2017-04-12
AH2N3CNMW5KXULJSOJ2YW3LU2UZA B000EOSHGQ 5.0 2015-10-21
AFCA32CILPODBTNAIHDIZOM7YECQ B008X3JGSI 3.0 2015-08-13
AHFS6LMA2PNZB7K75ZZROMXPFBTQ B00P0FO1P0 5.0 2018-10-04
AHR43PHINQPSJNHT5EGNWOBDRFSQ B00W8XXYN2 5.0 2017-08-15
AHMD4JWAFFRU6K5ZUM3AI7VS3GUA B00LM4ON2E 5.0 2017-06-26
AGN5X7CQBTUQRNLYKSS4FRQIUYGA B00006HOMA 5.0 2018-05-07
AHPV43QA2YBPVPDR6YMG4FNEMTOA B000FBK3QK 5.0 2017-10-23
AE2KPD5YVCRVN6JTTW6RLESE4KFQ B0000A1G05 5.0 2016-07-28
AEFEBULLDBYDB6RTWPQCU3YXXC3A B005GTNZUM 3.0 2016-03-10
AEDUIP3274CYUFBHYU3YCMGDPOSA B005LDLP8W 5.0 2017-04-14
AFJI5N55MXDVJNYADLSITLXJYQOQ B00E1TST90 5.0 2019-03-24
AGBDSFSB3ONBEKV6E2LTZUHTNNVQ B00WQG6A8C 5.0 2016-06-27
AGIPE37TNO7RKNHJI3O7RWTXNYUQ B003CP0OT2 5.0 2019-07-27
AHDDOEA6FVWTRJDP4GB56GVT6B4A B000UXZQ42 5.0 2018-10-19
AGU6FBCPB7MXSHYES6EEPXI67FRA B00T9QONN6 5.0 2017-01-21
AGHGES7DLPE2URDIMT3KTH5MXE3Q B00L1Y11D4 5.0 2019-06-24
AE6EHQLSSK6I266WGNYYMCKZVRGA B001XURP86 5.0 2018-01-06
AFODBX47EG4B7P662SWSIX3CSKBA B000067SLV 5.0 2017-03-14
AGER4GPXPAQ4NG2T7G4DRUCE43XA B00LV8TZAG 2.0 2018-02-07
AGNAND3KZ2OQ47J2SAWERMRZ2U6Q B00O2M7N48 2.0 2019-04-22
AG7XYBLOWGZEP5KINPPIQTGMUAJQ B0049SCB2Y 5.0 2018-06-03
AEGS7HZUEAD6LVJPBZQCAILL7Q6Q B00OV9IB2A 4.0 2018-02-20
AF3AGJCLNBRXJETEW7FYXXJXJKFA B008UHK3KM 5.0 2013-09-09
AEI7HEX63TERGLMCFY2AY6L5KCXQ B008LTBINU 5.0 2016-05-01
AECVWPAGTH36PQLSUT2F7SZTDIZA B00R11WPK4 5.0 2017-05-09
AEDRQQLSHHMXPOB66GDTWBQMDEWA B004M18O60 5.0 2020-01-15
AEWV7BAAZAUOCH3EARIHWCBB5PSQ B007YX9O94 3.0 2019-12-07
AGVMHHWRF3EVEUZ7NPVAWTIULV7Q B00L1Y11D4 5.0 2019-10-03
AGBZELW5FKM3CX5X6S5UB7PDYKCQ B009ISU33E 1.0 2019-12-27
AFYVHUIFZVWVNR3WUGK3FZAYMQTA B0091F8F7A 5.0 2019-05-22
AEEE25DDRY6NUWGQ737VV3LYWQDA B008F4USMS 5.0 2018-02-25
AGZNLQ37INY6EMK6PPLEGSZN2KGQ B00SMBETXS 4.0 2015-10-24
AHQ2SIRRCRULOCIRX64EWG4YTADQ B00NZTKOQI 5.0 2018-06-28
AGCT7VEK6742HD7TU2CW6SODLVJQ B00505EZYW 5.0 2019-05-10
AGZDENIOSF6ZL4HWKQ2EBWPOEFSQ B004861K1A 5.0 2016-11-12
AERO5VZOBCXDNV5S7EWCPLAQ5YOQ B00WGQNJK4 2.0 2015-01-02
AGKON6MQZ2FGOYI4PNCKAVVXHGJA B003CP0OT2 2.0 2017-01-17
AFWXXTAPMFDHRB7B5FPRH3TZDOFQ B0069LVJUY 5.0 2016-02-13
AFBAERJSL32MUIU6REFKR3YQX4FA B004M18O60 5.0 2019-05-25
AFS3GCDVAEJX4M7FRFE43OGGPGZA B005DF7BEK 5.0 2014-11-19
AE5CAL6LB6FDPV25KKF6CYEG4NFQ B00THOYRN6 5.0 2017-09-04
AFKFVT62YKHOWBI5HO44JZ4OJNSQ B009IUIV4A 5.0 2018-11-13
AFHRE5NREIK4CSUGZ6H5V2PMTRNA B001Q9EFUK 5.0 2018-12-24
AEEFQ67ZAHPFZVNIC53MCKCDC76Q B00008Y0VU 1.0 2015-10-05
AH3HF6C3J23GEDD2OO56FFA2BUYQ B00BL8DYCG 5.0 2016-12-04
AGSVRJZVYXUE5SJJHPM6QH4KLMKA B00004ZCJI 5.0 2017-12-06
AFSIW3BKMPOPTWFEU23VQQXSXKMA B00TKFEEAS 5.0 2018-07-30
AFNJUW55S4AJTIBGRAHUWUBCDPTA B00MFDX4YO 5.0 2017-03-20
AGWXCBJM54HHSDXDEI6YS3LHRMGA B00020T4UK 5.0 2018-01-13
AFZJ6U6LB66B57JOWT3YSAQ6TQ7A B01A89OEUY 5.0 2014-09-16
AGGVSZIVQYF74CIUB32RJDPGJIDA B00EN27ULS 5.0 2014-12-02
AFJB2IINTQVRARUY5HHDSDG4BKXQ B004Y0ERRO 1.0 2014-07-06
AFAIM7PVGEQJIC6Y2PR27CC34ZUA B008X8RV7Q 5.0 2018-04-30
AHW7HMNNDCLXSBKIHZNBHATNLBRA B003KXCCIW 5.0 2019-03-23
AHQIASJEIZVHUIEL2FQHIKB43GJQ B00ADR2B84 5.0 2019-08-29
AGVFR7NXLSBZO4BTHAMCYX5DFEEA B00AKT96GU 5.0 2015-05-16
AHAQVPWOIU54NSC75VCR6A5WMDSQ B00IMKRQO8 5.0 2016-02-05
AHTNQY3MFD2PZXH6V322FRMZBL7Q B00KFDPCVY 4.0 2015-07-31
AHCEZGKDWQ5ARIHRIYGN6QRX5UDA B00DJ83070 3.0 2018-09-19
AH2CDP56MI3ZCMVV4RKM4EXUCZ7Q B003CP0OT2 5.0 2017-06-20
AEFIR5HYRE4H36VOJWHRXMCHG4GA B001UR586S 4.0 2015-10-18
