userId itemId rate date
AE7MLXQVUVOXQPRSOLCDHYKITXTA B00V4584GW 5.0 2016-06-13
AGJ73TI25YFNYKVBWJZF4A63OM2Q B00M55C1I2 5.0 2018-01-22
AGJKPF6OWSILZNZINC4BCAUA7FBQ B01G5I6Q94 4.0 2016-09-07
AGYRUMD34XLXOSYFCH6ZEULE6COA B00M562LF4 1.0 2020-01-13
AH6FHMR6ORMDLRHWUPX3BEK2KP5A B004FLJVXM 4.0 2017-01-17
AFVTIBTZD2KNZLLN2TILDTJCX2FQ B000EBBJ6Y 4.0 2013-07-18
AHZRMVAIEG3V5LXCMM5GZXRXM6VA B00001P4ZH 5.0 2016-03-04
AHDWZAMW5223R4FVI4Y7IWT3YTQA B00EO6X4XG 4.0 2014-02-02
AHGF452TVI5QJ4ZBLHSZ2MFSGU6Q B00OTJZTZE 3.0 2020-02-06
AFADOJZUKAAWH5JB553RHUA37NIA B00SR28ZG4 4.0 2016-12-14
AGWT2OEKKO3QHU7TPT6TVRWVD6PQ B00NH13G5A 5.0 2020-06-27
AG376OUPO2IZKYE2AZ3FJYNF7ORA B005LFT3QG 5.0 2013-09-23
AFRKYJOIS42OHPXDPDHEB3UDTG4Q B00WIMC5IS 5.0 2017-06-24
AEC6MAHEH43S2KZGL2QLHVKL55NA B00GO4GKXM 5.0 2019-03-04
AHUKH2WOI4DVSJMA4FPCAA42NPOA B00IQ7PT50 5.0 2014-07-31
AF5FHHO7UCVAXWGCF7RT2LX363HQ B00JCRZ6XS 1.0 2019-10-17
AHAFLA4C3LGIDRUGR2OO442EILKQ B00ESW9SWW 5.0 2017-12-18
AGMIDSSNYNAOHWSZ2Z7LPDB2POXQ B00J29FF4G 5.0 2016-03-07
AGRMTRTT6FKSGOVCRHRVQIV2DFLQ B00VTHAS00 5.0 2016-07-20
AEBK5L2BKBKALAHJG4S4VGQGYDFA B0194NGTCQ 5.0 2018-05-14
AGEKFTO72GUDZHSBQHKJANYT3TKQ B00I9ICVZW 5.0 2016-01-26
AGGFPPZ2RDAPLLHI6KK7VUYG5I2Q B00009KH63 1.0 2016-09-07
AH3OLXWRXUTLKMJAFMF4E2IXAISA B00WIMC5IS 2.0 2017-07-24
AFIV6PO3BOL24Y622QZWDJHX3SRA B00WIMC5IS 5.0 2016-06-27
AGIQLIJBKV2QIDXT4PQHJQ4AQLSQ B00OD71FKU 5.0 2019-05-04
