userId itemId rate date
AEEYK2QCASVFEL6I3C67MV7V5QDQ B00OD7MO6E 5.0 2019-06-03
AHYWJIFBIQ7GMH77JNNBHPF2OKNA B00LN3LQKQ 5.0 2018-01-21
AFT3YKTXJXDUCFQ7ZRKGFGWZZURA B00MSQYX8Y 5.0 2015-03-09
AFDUI6U33T2PKCU2HZRODTHJS75A B00B2HOVK0 4.0 2017-12-08
AEUP4YGI7YSMKLAP6EBJKBUPMLHA B00RBGYGPG 5.0 2016-01-12
AHTL5BPOXJXY5K7OIOJRAFYC3FUQ B004D41ECW 5.0 2016-11-07
AGNM5ZDTICAKBNWUI2K2DOWT66WQ B007WTAJTO 5.0 2014-05-07
AE45EVCV73X3THD62LQI5E6CLJFQ B01GGKYD4Q 5.0 2017-02-07
AELJJ43JEPPPIHNUAMFWFC5XYJXQ B00DB21TCM 3.0 2015-02-11
AEYNK343XPUBW6OA2TUYU35LOZVQ B00WJVEUEK 4.0 2017-05-22
AHNPRIDUA4XRO2HVIY6YQX3YPY7A B01CDYB0QS 2.0 2019-06-17
AFAQFOZ5HVRCKBOGM3BLVELSX25A B00CHUFY2A 5.0 2015-03-28
AHJXJICVKTJOVTKTJE74EYFBGEDQ B00RCQKFKA 5.0 2015-08-01
AGHLIGY63X42ZHCEQKLH6FLV2THA B00P0FO0Y2 5.0 2020-01-16
AF6NHNIOAZ3OO4GD5WBMQ6VQ6FDQ B00B2HOY4S 5.0 2020-04-06
AGGOTAC77MWK5PB3EKKMR3L7P3NQ B00JIJUBAS 1.0 2018-05-03
AGZ67NOEAME2DLNRGRJ45MJ7SB5A B004RORMF6 5.0 2014-08-03
AH6AUUQLLDGJTHGOZV7LFEW7VOBQ B01CJ5TV8K 5.0 2018-10-02
AHTL5BPOXJXY5K7OIOJRAFYC3FUQ B00KKHAAQW 5.0 2016-11-05
AFU74MELJOEWMRLJWJB6RBCCVKVA B00B1862X4 5.0 2011-07-05
AEUHHTGTOJ2NNQLAO7LIC25BBXUQ B00S51XHUQ 5.0 2019-06-10
AHTGXVNS4QEQVOZJUOIESW6LANOQ B001C0DJL4 5.0 2011-12-30
AEAHDBYZAJD4CTN3VKN5A2WWC4JQ B008ALA6DW 4.0 2016-10-18
AHYOO3GJ26TIR77LDGMEB5D7SDNQ B00C7JIBN0 5.0 2015-01-14
AGWLLRSI5ZOTNNB6TFMYVKV4UUHQ B00QV1F0TS 3.0 2017-04-17
AGV3GN22PCPXGEO3YDZ3H5RA76EQ B006T9ZKAQ 5.0 2013-09-04
AGTYHFNHBMPVVCFR2UN77WZBZEIA B004W7HEMO 4.0 2019-08-19
AFZ7VYTVNJCJGNUDGDU4OVYAUPKA B00B4QESVQ 4.0 2014-06-03
AG6KOTELPHER2OTJPI66DLY3TV6Q B01GQPXB3U 5.0 2019-08-12
AEGKNKFV3NXPHZANRCMZXMXSKI6Q B00C9TEBJQ 5.0 2014-06-23
AEX2TEA6IUHG4Q7KNI4FKHBXG3JQ B004AM624C 2.0 2013-11-29
AGPDT5STWJPW57RCP27S3L3335NQ B000KFRSG4 4.0 2011-10-18
AFZGXRZXU3KXQXJWLEYZHSRG5NHQ B008E55BYS 4.0 2019-03-22
AEGCCPCRSRIDNX4E2WEEME6G6NLQ B004Q3C98S 4.0 2012-07-11
AELJJ43JEPPPIHNUAMFWFC5XYJXQ B001M4HXB2 3.0 2015-10-14
AGI64IFKVA6CREFXN763IFKVGEHA B01A6EO0N2 5.0 2019-12-03
AGBJV3XW2V3EMPRQ3SFJR4ITVWTQ B00M8ABEIM 4.0 2014-11-12
AGUPKBMCOPBY5MEOMKNW3QMMP7IA B00SOL9ZLC 3.0 2016-04-22
AH36R3AORLH2ASVIQRSS4HGK5BSA B00S51XHUQ 3.0 2020-01-30
AFYCG62G3VNV7B5A6K7OQO4CZ5GA B0001IM95U 5.0 2013-05-05
AHOAIHTLU2EPEXWILS2WF73JULLA B001C0DJL4 5.0 2013-12-06
AHNXCNOCP7EYEL6SQKFDFX4JEI2A B00K73NSXQ 5.0 2017-03-18
AHAHYYUKMLOTSMH6NKNEK3HYOQRQ B001TH7GUK 5.0 2013-04-10
AFFSYBPBBDBZ43FLQHIFSEPDIVTA B00TS1AZCA 5.0 2015-06-09
