userId itemId rate date
AF5LCYDTUOE5OISH7WTSYTYKDE3Q B00GG59HU2 5.0 2016-01-03
AFLDPXBMAXVTDI5Q7VHIXWQKXWPA B00BCWALHM 5.0 2017-08-18
AHPKRX6YOX4LM4X6S423RKPQFLVA B00609B3J2 5.0 2020-06-11
AHPORKJCCIFEZZRKHSWORM7VUMNQ B00F19PZXW 5.0 2019-09-23
AGTWAY7BBOT2IZVLPBFWFUI4BAFA B00608WXGA 5.0 2015-04-09
AGJB7L4WTUYNP37PUCDQVT6DT6AA B00CTGGARU 5.0 2018-12-20
AGJ2UGIDUFURH3MS3RJYRY37RA4Q B00LP6CFEC 5.0 2016-03-13
AFF6DUS4XYMAJIIAIXJQ62YZH2PA B00NIYNU8E 5.0 2017-06-22
AEKV7YWGKMF4LA6W4OQJVNSSPBIQ B00J9RO2LS 5.0 2015-07-26
AE4CF4IBTRJKX4X4XSKM4W32XIJQ B00F19Q7YI 5.0 2016-06-19
AH6BQ44SG4N5JCDU3V76BWGKYTMQ B00CDIK48U 4.0 2014-01-13
AGBEFAMTUOURGPSCJJITXLWABWEA B00F19Q7YI 5.0 2019-02-01
AFLDPXBMAXVTDI5Q7VHIXWQKXWPA B005KWHJES 5.0 2016-08-31
AEOWQFP3ZP56CR6P7HY2VLH3NN4A B00608WXGA 5.0 2017-04-27
AEPYVS6HNNFGZ6NF4JJFHQP7WU3Q B00EXXOU06 4.0 2017-04-05
AEJQAZZTQOXHMHVY3F75PGDA5R5Q B00D76RNLS 5.0 2019-07-02
AFA6TVCT5V4FCSANL4YL6NWG2RBQ B007GFX0PY 5.0 2017-08-30
AETVGPLMBDI5EGPZSV7WLTHWJQ3A B00HPPI0W8 5.0 2017-07-04
AHTGYSOBAYZ3MYGDIDFEVZJHBJMQ B00NIYNU8E 1.0 2019-05-01
AFQNBAUTDY5KN33AHPTRJCQPNHCQ B008VYLY3E 5.0 2015-03-19
AFTJ2KAVRAQON2AFVNRAIN2S3RXQ B00NBEWB4U 5.0 2018-11-06
AGCGKRRQYL4ELJNGFBRPLV3EALVA B002SZEOLG 5.0 2018-04-23
AHIFLTE66NYKD3AUN3CP5Y54PGPA B00M78G2VO 5.0 2020-03-06
AFJBP724TOQO7EY22SZETNZGHFUA B0079XWMEI 5.0 2015-04-29
AFI2KFTZEMY5DEKSL4DTGPHBJVVA B00CTGGARU 5.0 2019-03-19
AFEMYYMEGWCHRIUAUCWVZTZOAUCQ B00GG59HU2 5.0 2016-02-24
AGBUBV3VQIQCKZIBV2FGP5YTKVZQ B00CTGGARU 5.0 2016-07-19
AGMMLRTCPKMIKYRVBSXTR2HPZDTA B00F19PZXW 5.0 2019-02-13
AGJ2UGIDUFURH3MS3RJYRY37RA4Q B00F19Q7AC 5.0 2016-03-13
AGPTTRKNVMMEX5Z2O4BBH34UC6NA B00CTGGARU 4.0 2017-08-22
AH7TDWHRZ2YNDVB4LNKPI5RBO7DA B00CTGGARU 5.0 2018-01-14
AEY2GS7TYGH6RK6L3VJZM2NZEQTA B00B7GV802 5.0 2018-08-25
AGMMLRTCPKMIKYRVBSXTR2HPZDTA B00J9RO2LS 5.0 2019-02-13
AHBL7RWZU7NI3Z3V5XG5PNK36L7A B008MB6ZX0 5.0 2014-12-31
AERKLSA474FM2OVC6DCELS2YY6YA B00QGOQ2BA 4.0 2018-04-13
AEICVYQWBHS4WMMENPOQIE6PO3PA B00GLXV3TW 5.0 2017-07-17
AGOKE3V6YQ7JB5VPP63Y2HQV27LQ B00CTGGARU 1.0 2019-02-10
AEVEXJUJNHKJ56ZJS6ZRHMN776VA B00F19Q7YI 4.0 2018-12-21
AHYPTFUAFRYYSRAWMVMW52HKKRUQ B00M55C1I2 5.0 2015-06-08
AHR6GHZZC7YRFPTTPM2SGZLMLCYA B00GG59HU2 5.0 2017-08-02
AFSSY7GGVWHL2TLE5ESRJXJJEK4Q B00M55C0LK 5.0 2015-04-27
AF3OVV4MTRC3NS4SY2M5AOEJIA7A B00HXT8S9G 5.0 2015-11-23
AEEADLBUESEJMPAKAFAD6YTOF7BQ B003B2YJBA 5.0 2017-09-12
