userId itemId rate date
AEET64PT4Y6E63QNKPKBHTZNLQWA B00NXOMA8A 5.0 2015-09-26
AGHSMSAIKNFKHVMSVNI57HTZAKTQ B00FAYL1YU 3.0 2016-02-13
AFMESF4EYP62EIFIWQ3HJ3KURRLQ B01FRDSAYW 5.0 2013-10-20
AHZTVXCCQ3Z4XOFCFYM5UL7LDYXQ B00VH5KO4Y 5.0 2015-05-07
AEXILXUDOLH7EHKXAT4WQR6Y6WQA B000Y9TZ9Y 5.0 2011-09-06
AHQE7SQ3TUNLKFRUZCKFBWVI3H7A B005VTIMEQ 5.0 2012-04-06
AGGPE2OKVLW5JKE4H3EGQKJT6QNA B01BYLY4DM 5.0 2016-03-22
AEP4WXIS32U2RRJWONSYLIYPOXAA B0079MX4Q4 5.0 2016-08-23
AE3JCZQS433WXR3G6PRM6CLIMHEA B00WAS1FX6 1.0 2016-04-03
AE4AO6ZYEML2DEFJV64OH37CRI6Q B001F6TXME 5.0 2018-02-12
AFG2LE4MKLXPN6X7BEFNBMUDOF2Q B019EXSSBG 5.0 2015-07-04
AHZTVXCCQ3Z4XOFCFYM5UL7LDYXQ B00FZLV9G8 5.0 2016-02-24
AET4XP2GYIIKNHJHPCRKTTJUX2XQ B00NH11KIK 5.0 2017-12-04
AF7O4L5FMWQO7ESN5JR3VHB4734Q B00NH126Q0 5.0 2014-04-29
AG5NWD36NUAJNL6XFQ7WF6QBLKXA B00GAOQOWS 4.0 2017-02-28
AE3JCZQS433WXR3G6PRM6CLIMHEA B006LW0W5Y 5.0 2020-02-03
AHIZ7FQN7QRROKXG2B6GUJMNDJ3Q B00MVNBTDG 3.0 2018-06-03
AHTSWA77CL7VKMABJIAJP6J4ABWA B00310EEO4 4.0 2014-11-27
AFRSNF3CGLFZEG4I7A5SCSBFPZDA B005NGQWL2 5.0 2014-05-01
AHTSWA77CL7VKMABJIAJP6J4ABWA B00NH13K8S 5.0 2014-08-20
AGMWHB57ULJFFKZLMABU6MYX6VAQ B00OQ0CYFE 5.0 2016-02-10
AH2YW526M2MX7SFXVYQW6G4LSJKQ B003L1ZYYW 3.0 2015-11-07
AFH52YU5NUR52QGCF7F2V7IOZTDQ B00005LEN4 5.0 2014-12-08
AEET64PT4Y6E63QNKPKBHTZNLQWA B01DVW643A 5.0 2016-05-22
AGIIHMDSPOHJEX2JHBXDELXQ6XEA B003L1ZYYW 5.0 2014-08-15
AGKHOFZSANLWOOMSVHO44YSD5GNQ B00L3KNZZ8 5.0 2016-07-24
AG5WOG4FDDGIVWPBN2BQTZSZKSHA B00W7KAABK 1.0 2018-02-16
AGESJXUEUG3R4CC7MFEYR7LTN3WA B00CD1PTF0 3.0 2017-11-16
AECMNBUVRMZVWZZSAHSDTAJYSDMA B00UF8SEA0 5.0 2015-08-10
AEQEH5UHGL3SNJUZO6UQNT2CJJMQ B00BJSYV4S 4.0 2013-04-29
AFZQSV6TZSWLWTSEU4YEP66O5ISA B006LW0W5Y 3.0 2015-11-13
AEYUPU2JYJLJEUPPBW3XOCZQ2VZA B00004VX39 5.0 2013-07-10
AGGPE2OKVLW5JKE4H3EGQKJT6QNA B00OTJZTZE 5.0 2016-03-14
AGJU7KBHPX2X6EDA6AKG5HPIL5TQ B00NH11KIK 4.0 2018-06-15
AFUCFWNWAAWN7JW6YBPNEM77QSDA B00NH126Q0 4.0 2015-09-09
AEELQP4TNKZQ4ZG6HDEOG7KWUFHQ B00JST2QEW 5.0 2015-06-11
AGRWAI24BFU3D5GXEZDZSQYOMKIA B00L3KNL6Q 5.0 2014-12-31
AF2OUCWMSFE6N4NGO6BYQ6NXEIUQ B00BGIQS1A 2.0 2015-02-27
AGAUIMHY3RVLXFIKT5D64IQGSFUA B00NH126Q0 5.0 2016-01-03
AGCNV5BJ6I23L7AZ4P3ULVJSXPEQ B005VTIMEQ 5.0 2012-03-28
AFUVBAEZHOA7H323STZJW3NDYSRA B00NH126Q0 5.0 2014-08-10
AHQ32TE7MT5SK2S5JWDMSSJ4G3YA B00P0FO1P0 4.0 2016-04-28
AE6PSFN2GYLHAB65MAVOOLDTZ2FA B002VPE1Q6 4.0 2016-03-22
AGRUQWXXBFOLESFZM2ATUQRTP6QQ B013U542QE 5.0 2015-11-25
