userId itemId rate date
AEHPZWFYUBOYLUGIPZ63FPSB6ZBA B00DQGBYDC 5.0 2016-07-03
AFREBRPOGBR5ZN6O5ODV43GT5DCA B00IMB47TY 5.0 2018-01-12
AFQDKTJWJWUMMWJIRMQJPMPIPQBQ B00RUZ059O 5.0 2015-08-16
AHU4DWUQZI5PII3QSDS43HVMUSQA B019954Y2Q 5.0 2019-01-03
AEZE7U35FCQV4MNXEE2FGFUKDXNA B007BJHETS 5.0 2013-03-21
AHUUSNSZKJSBQDQ3CAQYKWTB4J6A B00ECEVFFO 5.0 2015-08-25
AHI7SYI7K3ROJOPGSEVLNQP3SHTQ B00CKSWBB6 5.0 2014-09-25
AFI6AHI3W72ZV766G73YQ4Y3EIIQ B001KELVS0 4.0 2013-05-31
AGQTFTWGYMYM4ATZQ5JBXNWVPIOA B004ABO7QI 5.0 2015-12-28
AGOUQHPULUJIJA22LU6PXINAFD5Q B00KQCOV5C 1.0 2018-01-04
AFTBK5KZJONV7I56WPR3OPIE4MXA B00519BEQY 5.0 2018-02-20
AFPMO6FA2JDWO3QGQ5OBJL2XDJGA B01BFJDTW0 5.0 2020-05-23
AFCXAVYKUQQQUDCJVQVS2ZWEVTEA B0006I1TRY 1.0 2015-01-10
AFNB6SXU2SSLY6KJIDAEZ3R2Q5EA B00S9Q9VS4 5.0 2016-03-05
AFSD2A7IB7IFRUHRI76A66DSJLZQ B003LPTAYI 4.0 2014-07-12
AGMRICDOJ5I7N7AWZTI232XOFJZA B007JTKLEK 5.0 2013-01-03
AFY4YKROBVN7FX3C36O3OVJDGUDA B0002CPBWS 5.0 2011-07-23
AF54UFG62F44VUWZCX3HJAJ737JA B00S51XHUQ 4.0 2019-03-30
AHMR47VDYZ33VFW3ATW6EF4D7SQA B0000C73CQ 5.0 2016-10-05
AEGNOHU33OCNIZEVUU2SFVK2E7LA B001AGD1Q8 5.0 2014-12-05
AFGY4TRXB7RMPJP6OCKXJ3XBNY7A B00RM1EC1S 5.0 2016-02-02
AGBWARR4QXCG3OEQFNWIMYC7DV3A B00J3AX6R2 5.0 2014-10-20
AGDF44CYC7FY6DVMKH4KZAKIUVOQ B004CAGDSW 5.0 2014-07-12
AF5XJMYB4SQR2X4XFSGWZBTI2ECQ B00NMTXYN6 4.0 2017-02-11
AFN5Q6ELFU4VBNEONIACYHCIOJTA B001S2PPT0 4.0 2014-06-22
AH7JWU64PHMFCHGKCOIY4X6J236Q B005LFT3MA 5.0 2013-01-30
AE76X4GTQT3V2YN5NBPVXF7BHOZA B007BJHETS 5.0 2015-07-01
